Guess and Check,80
New Shortest Path,Time
4448,-
4344,0.009587764739990234
4296,0.012466907501220703
4187,0.014671087265014648
4030,0.0221250057220459
4007,0.023481130599975586
3959,0.026374101638793945
3894,0.037665605545043945
3827,0.05672454833984375
3785,0.12956857681274414
3694,0.1485586166381836
3590,0.15211868286132812
3570,0.8363871574401855
3554,1.175382137298584
3510,1.608433485031128
3506,1.8084700107574463
3474,3.1099393367767334
3450,4.139449119567871
3418,5.187182664871216
